講義名,時間割コード,開講時期,担当教員,開講学部,曜日時限,評価方法
金融論特論［大学院］[Selected Topics in Money & Banking],2007045,秋学期,奥村 綱雄[OKUMURA TSUNAO],経済学部,,(1) レポート (70%)(2) 授業参加・授業中の小テスト (30%)
ファイナンス［大学院］[Finance],2007046,春学期,猪野 明生[INO AKIO],経済学部,,宿題30%、コーポレートファイナンス関連論文の授業内プレゼン及びレフェリーレポート提出70%
ファイナンス特論［大学院］[Selected Topics in Finance],2007047,秋学期,猪野 明生[INO AKIO],経済学部,,宿題30%、コーポレートファイナンス関連の論文に関する授業内プレゼン及び結果再現のレポート提出70%
公共経済学［大学院］[Public EconomicsⅠ],2007050,春学期（第1ターム）,熊野 太郎,経済学部,,Term paper 100%場合によっては、学生発表などで代替することもある。
公共経済学特論［大学院］[Public EconomicsⅡ],2007051,春学期（第2ターム）,熊野 太郎,経済学部,,Term paper 100%場合によっては、学生発表などで代替することもある。
地方財政学［大学院］[Local Public Finance],2007053,春学期,伊集 守直[IJU MORINAO],経済学部,,期末レポート（100%）により評価する。
地方財政学特論［大学院］[Selected Topics in Local Public Finance],2007054,秋学期,伊集 守直[IJU MORINAO],経済学部,,期末レポート（100%）により評価する。
地域経済政策［大学院］[Local and Regional Economic Policy],2007055,春学期,居城 琢[ISHIRO TAKU],経済学部,,授業内における小テスト(10%)と授業内に課される課題レポート（10%）の合計を平常点（20％）とし、中間試験（30％)と定期試験（50%）の合計（80％）を試験の評価として、合計（100％）で成績評価を行います。
地域経済政策特論［大学院］[Selected Topics in Local and Regional Economic Policy],2007056,秋学期,居城 琢[ISHIRO TAKU],経済学部,,授業内に課される課題レポート（20%）を平常点（20％）とし、中間試験（30％)と定期試験（50%）の合計（80％）を試験の評価として、合計（100％）で成績評価を行います。
社会福祉政策［大学院］[Social Welfare Policy],2007057,春学期,加藤 壮一郎[KATOH SOICHIRO],経済学部,,精読にあたっての輪読資料の精度（25%）、ディスカッション（25%）、最終レポート（50%）
社会福祉政策特論［大学院］[Selected Topics in Social Welfare Policy],2007058,秋学期,加藤 壮一郎[KATOH SOICHIRO],経済学部,,精読の輪読資料の精度（25%）、ディスカッション（25%）、最終レポート（50%）
農業政策［大学院］[Agricultural Policy],2007059,春学期（第1ターム）,池島 祥文[IKEJIMA YOSHIFUMI],経済学部,,各自の担当部分に対する正確な内容把握ができ、適切に解説することができるか（50）、また，教員が提示する論点に対して、口頭もしくは小テストを通じて、適切な論理展開を踏まえて解説できているか（50）を踏まえて評価します。
農業政策特論［大学院］[Selected Topics in Agricultural Policy],2007060,秋学期,池島 祥文[IKEJIMA YOSHIFUMI],経済学部,,各自の担当部分に対する正確な内容把握ができ、適切に解説することができるか（50）、また，教員が提示する論点に対して、口頭もしくは小テストを通じて、適切な論理展開を踏まえて解説できているか（50）を踏まえて評価します。
産業組織論［大学院］[Industrial Organizations],2007062,秋学期,鶴岡 昌徳[TSURUOKA MASANORI],経済学部,,出席及び質疑応答(10)、2本のレフェリーレポートの質(40)、プレゼンテーション(50)
応用ミクロ計量分析特論［大学院］[Selected Topics in Applied Microeconometrics],2007064,秋学期,鶴岡 昌徳[TSURUOKA MASANORI],経済学部,,期末試験（100）。川口康平・澤田真行「因果推論の計量経済学」の内容に基づいた期末試験の成績に基づいて成績評価を行う。期末試験対策のために提出不要の宿題が出るかもしれません。
国際金融［大学院］[International Finance],2007066,春学期,西川 輝[NISHIKAWA TERU],経済学部,,問題演習2回分の成績（100%）
国際金融特論［大学院］[Selected Topics in International Finance],2007067,秋学期,西川 輝[NISHIKAWA TERU],経済学部,,先行研究のプレゼンテーション（40%）、レポート作成（60%）
外国為替論［大学院］[Exchange Rate Economics],2007068,秋学期,佐藤 清隆[SATO KIYOTAKA],経済学部,,Take-home assignments (20%); Mid-term examination (40%); Final examination (40%).
国際環境経済［大学院］[International Environmental Economics],2007070,春学期,氏川 恵次[UJIKAWA KEIJI],経済学部,,中間レポート（50％）、期末レポート（50％）による。
途上国経済［大学院］[Developing Economies],2007076,春学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,,平常点２０％、期末の筆記試験８０％で、評価する。
途上国経済特論［大学院］[Selected Topics in Developing Economies],2007077,秋学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,,平常点とレポートを併せて評価する。平常点は２０％、レポートは８０％で評価する。レポートは４００字詰８枚（３２００字）以上とし、コンピューター（ないしワープロ）により、Ａ４サイズ横書きで作成すること。見出し（小見出し）、目次、参考文献および注をつけ、短くても論文の形式とすること。テーマは別途指示する。提出締切りは基本的に２月初旬であるが、これも詳しくは別途指示する。
国際コミュニケーション［大学院］[International Communication],2007078,春学期,中村 良夫[NAKAMURA YOSHIO],経済学部,,毎回の授業時における小テストの成績を合算して（100％）成績評価を行う。
国際コミュニケーション特論［大学院］[Selected Topics in International Communication],2007079,秋学期,中村 良夫[NAKAMURA YOSHIO],経済学部,,毎回の授業時における小テストの成績を合算して（100％）成績評価を行う。
言語コミュニケーションとアイデンティティ［大学院］[Language Communication and Identity],2007080,春学期,マッコーレー アレック[ALEXANDER MCAULAY],経済学部,,Grading will be based on class participation (20%) and a mid-term test (40%) and final test (40%).
"言語コミュニケーションとアイデンティティ特論［大学院］[Selected Topics in Language, Communication and Identity]",2007081,秋学期,マッコーレー アレック[ALEXANDER MCAULAY],経済学部,,"Class tests (20% x 3), Performance in class (40%)"
政治学原論［大学院］[Principles of Politics],2007083,春学期,清滝 仁志[KIYOTAKI HITOSHI],経済学部,,発表報告（報告者の無断欠席は厳禁）５０％、討論状況３０％、授業後の小レポート２０％
政治学原論［大学院］[Principles of Politics],2007083,春学期,清滝 仁志[KIYOTAKI HITOSHI],経済学部,,"Presentation report (unauthorized absence by presenters is strictly prohibited) 50%, discussion 30%, short report after class 20%"
憲法特論［大学院］[Issues in Constitutional Law],2007108,秋学期,君塚 正臣[KIMIZUKA MASAOMI],経済学部,,平常点（３割）と期末試験結果（７割）を合わせて成績とする。期末試験は一部択一式（必答）とするが大半を論文式（複数問から１問選択）とすることを予定している。法学徒の教養としての比較憲法として合格水準の者を可、これを超えて優れているものを優とする。
家族法特論［大学院］[Issues in Family Law],2007113,秋学期,柳迫 周平[YANASEKO SHUHEI],経済学部,,各回の議論への参加状況（20％）、報告の内容（40％）及び学期末レポート（40％）により評価する（ただし、報告を担当しなかった者については、報告の内容に代えて中間レポート（40％）を考慮して評価する）。
会社法研究［大学院］[Study on Corporation Law],2007114,春学期,芳賀 良[HAGA RYOU],経済学部,,（１）授業中に行う到達度確認テスト（複数回実施する予定である）等の平常点（50％）並びに（２）期末試験（50％）によって判定する。
刑事訴訟法特論［大学院］[Issues in Criminal Procedure Law],2007118,春学期,金子 章[KANEKO AKIRA],経済学部,,授業への参加状況などの総合評価によります。
法哲学特論［大学院］[Issues in Philosophy of Law],2007120,春学期,山本 展彰[YAMAMOTO NOBUAKI],経済学部,,授業中に行われる議論への参加（30％）及びレポート（70%）
労働法研究Ⅰ［大学院］[Study on Labor Law 1],2007129,秋学期,植田 達[UEDA TORU],経済学部,,レジュメ・プレゼンテーションによる報告の内容・完成度および議論への参加の態度・積極性（50%）、最終レポートの内容・完成度（50％）
社会保障法研究Ⅰ［大学院］[Study on Social Security Law 1],2007132,春学期,関 ふ佐子[SEKI FUSAKO],経済学部,,学期末に提出するレポート(30%)、並びに授業における報告内容及び授業中の活発な質問や発言(70%)をもとに評価する。「新型コロナウイルスの感染拡大防止に関わる対応について」（https://www.ynu.ac.jp/hus/koho/23484/detail.html）の１の①〜④の事由［または更新版の該当箇所］により授業を欠席する場合には、必要に応じて、レポート課題を課すこと等により、成績評定における平常点の評価を行う。
コーポレートガバナンスⅠ［大学院］[Corporate Governance I],2007155,春学期（第2ターム）,芳賀 良[HAGA RYOU],経済学部,,到達度確認テストや同時双方向型授業でのプレゼンテーション等（全体の40％）と提出されたレポート（全体の60％）を総合的に評価する。
コーポレートガバナンスⅡ［大学院］[Corporate Governance II],2007156,春学期,芳賀 良[HAGA RYOU],経済学部,,到達度確認テストや同時双方向型授業でのプレゼンテーション等（全体の40％）と提出されたレポート（全体の60％）を総合的に評価する。
ゲーム理論[大学院][Game Theory],2007164,秋学期,佐野 隆司[SANO RYUJI],経済学部,,複数回の宿題（小レポート）（90%）および授業内での質疑応答（10％）を目安に評価する。
データサイエンス論[大学院][Data Science],2007165,春学期,加藤 隆太[KATOH RYUTA],経済学部,,試験（５０％）と課題（５０％）により評価する。
データサイエンス論特論[大学院][Advanced Data Science],2007166,秋学期,加藤 隆太[KATOH RYUTA],経済学部,,試験（50%)と課題（50%)
ミクロ経済学入門[Introduction to Microeconomics],2111102,春学期,熊野 太郎,経済学部,木曜4限,期末試験　１００％講義中の議論への参加などにより+αの加点をする。
マクロ経済学入門[Introduction to Macroeconomics],2111103,秋学期,相馬 尚人[SOMA NAOTO],経済学部,火曜3限,授業でのゲーム参加、ミニクイズの点数、期末試験の点数を加味して評価する予定です。詳しい評価方法は初回の授業で公表します。
経済と倫理[Economics and Ethics],2111104,春学期,石井 穣[ISHII JOU],経済学部,金曜4限,講義ごとの小テストと学期末の筆記試験により成績評価を行う。配点の目安は小テストが30％、期末試験が70％である。
現代経済分析１,2111105,春学期（第1ターム）,深澤 一弘[FUKAZAWA KAZUHIRO],経済学部,,小テスト①（20%）、小テスト②（20%）、定期試験（60%）で評価する。
現代経済分析２,2111106,春学期（第2ターム）,深澤 一弘[FUKAZAWA KAZUHIRO],経済学部,,授業内課題①（15%）、授業内課題②（15%）、授業内課題③（15%）、定期試験（55%）で評価する。
経済史入門[Introduction to Economic History],2113101,秋学期,石山 幸彦[ISHIYAMA YUKIHIKO],経済学部,水曜4限,期末試験(100%)によって評価する。
法学入門[Introduction to Jurisprudence],2116101,春学期,山本 展彰[YAMAMOTO NOBUAKI],経済学部,火曜3限,期末試験による（100％）。
コンピューター・リテラシー[Computer Literacy],2118101,春学期,久米 良光[KUME YOSHIMITU],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118102,春学期,久米 良光[KUME YOSHIMITU],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118103,春学期,髙木 創平[TAKAGI SOHEI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118104,春学期,劉 楠[LIU NAN],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118105,春学期,呉 俊儀[WU JUNYI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118106,春学期,呉 俊儀[WU JUNYI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
コンピューター・リテラシー[Computer Literacy],2118107,春学期,劉 楠[LIU NAN],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118108,秋学期,久米 良光[KUME YOSHIMITU],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118109,秋学期,久米 良光[KUME YOSHIMITU],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118110,秋学期,呉 俊儀[WU JUNYI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118111,秋学期,呉 俊儀[WU JUNYI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118112,秋学期,髙木 創平[TAKAGI SOHEI],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118113,秋学期,劉 楠[LIU NAN],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データ解析[Data Analysis],2118114,秋学期,劉 楠[LIU NAN],経済学部,,成績は、7割以上出席した者についてレポート課題・毎回の宿題（小テスト）・授業中の演習課題から評価する。なお、他人のレポートをコピーしたなどの不正があった場合、コピーさせたものも含め、不正行為に関係したもの全員を不可とする。
データサイエンス・リテラシーⅠ[Data Science Literacy I],2118115,春学期,髙木 創平[TAKAGI SOHEI],経済学部,,毎回の演習課題 60% ，期末レポート 40% によって評価します。
データサイエンス・リテラシーⅡ[Data Science Literacy II],2118116,秋学期,髙木 創平[TAKAGI SOHEI],経済学部,,毎回の演習課題 60% ，期末レポート 40% によって評価します。
基礎演習[Academic Study Skills],2119101,春学期,植村 博恭[UEMURA HIROYASU],経済学部,,出席、報告・発表、レポートを総合して評価する。
基礎演習[Academic Study Skills],2119102,春学期,藤生 源子[FUJIO MINAKO],経済学部,,"授業への参加度(40%), プレゼンテーション(30%), レポート・課題(30%)"
基礎演習[Academic Study Skills],2119103,春学期,中村 靖[NAKAMURA YASUSHI],経済学部,,出席、議論への貢献、最終レポート、プレゼンテーションを総合して評価する。
基礎演習[Academic Study Skills],2119104,春学期, 与[GONG YUZE],経済学部,,"授業への参加度, プレゼンテーション, レポートなどで総合的に評価する。なお、情報リテラシーの e-learning による自習（授業２回分に匹敵）を完了しなかった履修生は、基礎演習の単位認定の対象としません。基本的に毎回参加することが大前提ですが、やむを得ず欠席する場合は事前に連絡してください。"
基礎演習[Academic Study Skills],2119105,春学期,陳 文毅[CHIN BUNKI],経済学部,,レポート（70%）プレゼンテーション（30%）
基礎演習[Academic Study Skills],2119106,春学期,シュレスタ ナゲンドラ[SHRESTHA NAGENDRA],経済学部,,①　　 情報リテラシーのe-learningによる自習（授業２回分に相当）を完了しなかった履修生は、基礎演習の単位認定の対象としない。②　　 期末テストのレポートで成績評価をする。
基礎演習[Academic Study Skills],2119107,春学期,山崎 圭一[YAMAZAKI KEIICHI],経済学部,,平常点２０％（対面授業での発言などの積極性）、小論文の提出（期間中１回）５０％、パワーポイントによるプレゼンテーションの作成３０％で、評価する。
基礎演習[Academic Study Skills],2119108,春学期,小林 恵実[KOBAYASHI EMI],経済学部,,出席40％、授業内での発表と議論への参加30％、レポート課題30％
基礎演習[Academic Study Skills],2119109,春学期,金子 章[KANEKO AKIRA],経済学部,,授業への参加状況、報告をもとに評価する。
基礎演習[Academic Study Skills],2119110,春学期,酒井 春花[SAKAI HARUKA],経済学部,,出席点（発言、授業態度等）(40%)、レポートおよびプレゼンテーション(60%)を目安に評価する。5回以上の欠席により無条件で不可となる。また、情報リテラシーのe-learningを修了しなかった場合も無条件で不可となる。
基礎演習[Academic Study Skills],2119111,春学期,加藤 隆太[KATOH RYUTA],経済学部,,授業内の発言(50%)、プレゼンテーション(50%)
導入演習Ⅰ[Introductory Seminar I],2119121,春学期（第1ターム）,"山本 展彰, 芳賀 良[YAMAMOTO NOBUAKI, HAGA RYOU]",経済学部,,演習における議論への参加状況（50％）、発言内容の適切性・説得性（20％）、レポート（30%）
導入演習Ⅱ[Introductory Seminar II],2119122,春学期（第2ターム）,"山本 展彰, 石﨑 由希子[YAMAMOTO NOBUAKI, ISHIZAKI YUKIKO]",経済学部,,演習におけるグループワークへの参加状況（50％）、資料の適切性・説得性（20％）、最終プレゼンテーションの適切性・説得性（30%）
経済原論１[Principles of Political Economy 1],2121101,春学期（第1ターム）,シュレスタ ナゲンドラ[SHRESTHA NAGENDRA],経済学部,,①　　 期末テストのレポートで成績評価をする。
経済原論２[Principles of Political Economy 2],2121102,春学期（第2ターム）,シュレスタ ナゲンドラ[SHRESTHA NAGENDRA],経済学部,,①　　 期末テストのレポートで成績評価をする。
現代経済システム１[Contemporary Economic Systems 1],2121103,春学期（第1ターム）,小川 翔吾[OGAWA SHOGO],経済学部,,定期試験(100%)によって評価する。知識でなく、講義で紹介・解説した論理を理解しているかを問うため、試験にA4サイズまでの紙一枚（いわゆるカンニングペーパー）の持ち込みを許可する予定である。
現代経済システム２[Contemporary Economic Systems 2],2121104,春学期（第2ターム）,小川 翔吾[OGAWA SHOGO],経済学部,,定期試験(100%)によって評価する。知識でなく、講義で紹介・解説した論理を理解しているかを問うため、（対面での試験が実施できる場合は）試験にA4サイズまでの紙一枚（いわゆるカンニングペーパー）の持ち込みを許可する予定である。あくまで予定なので、授業中の案内を聞くこと。
ミクロ経済学１[Microeconomics 1],2121105,秋学期（第4ターム）,石田 航[ISHIDA WATARU],経済学部,,成績は試験の結果のみで判断する。
ミクロ経済学２[Microeconomics 2],2121106,秋学期（第5ターム）,石田 航[ISHIDA WATARU],経済学部,,成績は試験の結果のみで判断する。
マクロ経済学１[Macroeconomics 1],2121107,秋学期（第4ターム）,岡田 多恵[OKADA TAE],経済学部,,①定期試験： 70%②小テストと授業に対する感想・質問・指摘含むリアクションペーパー：20％毎回、LMS等を用いて行う③平常点：10％出席は学生として当然のことですが、出席は考慮します。現在の文科省の指導では、授業への出席は当然のことで、出席点を成績評価の直接の対象として含めないようにとされています。・有益な（他の学生の学修に役立つ）コメントやしっかりした（他の学生の学修に役立つ）感想を書いてくれた人にはできるだけ加点しています。・成績は上記①～③を総合的に判断して評価する。今後、割合については変更する可能性がある。
マクロ経済学２[Macroeconomics 2],2121108,秋学期（第5ターム）,岡田 多恵[OKADA TAE],経済学部,,①定期試験： 70%②小テストと授業に対する感想・質問・指摘含むリアクションペーパー：20％毎回、LMS等を用いて行う③平常点：10％出席は学生として当然のことですが、出席は考慮します。現在の文科省の指導では、授業への出席は当然のことで、出席点を成績評価の直接の対象として含めないようにとされています。・有益な（他の学生の学修に役立つ）コメントやしっかりした（他の学生の学修に役立つ）感想を書いてくれた人にはできるだけ加点しています。・成績は上記①～③を総合的に判断して評価する。今後、割合については変更する可能性がある。
経済政策１[Economic Policy 1],2122103,春学期（第1ターム）,掛貝 祐太[KAKEGAI YUTA],経済学部,,①　　 期末レポート（６０％）②　　 毎回の講義で課すリアクションペーパー（４０％）※ただし、履修者の人数によっては、変更となる可能性があるため、初回講義にはかならず参加すること。※毎回、最後の10分程度をリアクションペーパーの記入にあて、次週講義で抜粋して紹介します。※リアクションペーパーの提出回数が全体の３分の２に満たない場合は、不可とするため注意すること。
経済政策２[Economic Policy 2],2122104,春学期（第2ターム）,掛貝 祐太[KAKEGAI YUTA],経済学部,,①　　 期末レポート（６０％）②　　 毎回の講義で課すリアクションペーパー（４０％）※ただし、履修者の人数によっては、変更となる可能性があるため、初回講義にはかならず参加すること。※毎回、最後の10分程度をリアクションペーパーの記入にあて、次週講義で抜粋して紹介します。※リアクションペーパーの提出回数が全体の３分の２に満たない場合は、不可とするため注意すること。
Global Economy[The Global Economy],2122201,春学期（第1ターム）,張 馨元[ZHANG XINYUAN],経済学部,,"Weekly test or report 60%(6 tests, 10% each), final exam 40%"
